Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Bratton, Maryann",ENG 100A - Principles of Team Engineering (A),FA09,40,34,84.8%,84.4%,3.5,B+ (3.66),B+ (3.58)
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (C),FA09,10,7,100.0%,100.0%,3.93,A (4.00),
"Griswold, William G.",ENG 100L - Team Engineering Laboratory (D),FA09,6,6,100.0%,100.0%,3.83,A (4.00),
"Belongie, Serge J.",ENG 100L - Team Engineering Laboratory (F),FA09,10,7,100.0%,100.0%,4.21,B+ (3.67),
"Cole, Michael",ENG 100L - Team Engineering Laboratory (H),FA09,8,8,100.0%,100.0%,5.0,A (4.00),
"Tu, Charles",ENG 100 - Principles of Team Engineering (A),SP09,31,20,78.9%,100.0%,3.87,B+ (3.63),B+ (3.47)
"Tu, Charles",ENG 100A - Principles of Team Engineering (A),SP09,31,20,78.9%,100.0%,3.87,B+ (3.63),B+ (3.47)
"Tu, Charles",ENG 100L - Team Engineering Laboratory (B),SP09,13,11,100.0%,100.0%,6.7,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Laboratory (C),SP09,9,9,100.0%,100.0%,2.94,A- (3.71),
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (D),SP09,12,10,100.0%,100.0%,4.9,A- (3.70),
"Griswold, William G.",ENG 100L - Team Engineering Laboratory (E),SP09,9,8,100.0%,100.0%,5.25,A (4.00),
"Snavely, Allan Edward",ENG 100L - Team Engineering Laboratory (F),SP09,3,3,100.0%,100.0%,3.83,A (4.00),
"Belongie, Serge J.",ENG 100L - Team Engineering Laboratory (G),SP09,9,8,100.0%,100.0%,3.25,A- (3.86),
"Cole, Michael",ENG 100L - Team Engineering Laboratory (H),SP09,11,12,91.7%,100.0%,3.33,A- (3.73),
"Guest, Clark C",ENG 100L - Team Engineering Laboratory (I),SP09,7,4,75.0%,100.0%,4.5,A (4.00),
"Bratton, Maryann",ENG 100 - Principles of Team Engineering (A),WI09,47,37,91.7%,88.9%,2.66,A- (3.73),B+ (3.54)
"Bratton, Maryann",ENG 100A - Principles of Team Engineering (A),WI09,47,37,91.7%,88.9%,2.66,A- (3.73),B+ (3.54)
"Tu, Charles",ENG 100L - Team Engineering Laboratory (B),WI09,8,5,100.0%,100.0%,9.7,A (4.00),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Laboratory (D),WI09,8,5,100.0%,100.0%,3.7,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (F),WI09,12,11,90.9%,90.9%,4.3,B+ (3.67),
"Griswold, William G.",ENG 100L - Team Engineering Laboratory (H),WI09,6,4,100.0%,100.0%,3.0,A (4.00),
"Cole, Michael",ENG 100L - Team Engineering Laboratory (M),WI09,7,6,100.0%,100.0%,3.3,A (4.00),
"Guest, Clark C",ENG 100L - Team Engineering Laboratory (N),WI09,6,6,100.0%,100.0%,3.83,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (D),FA08,8,9,100.0%,100.0%,6.06,B+ (3.50),
"Uang, Chia-Ming",ENG 100L - Team Engineering Laboratory (E),FA08,10,11,90.9%,81.8%,6.86,A- (3.73),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Laboratory (J),FA08,8,7,100.0%,100.0%,3.07,A- (3.71),
"Bratton, Maryann",ENG 100 - Principles of Team Engineering (A),SP08,40,33,78.8%,87.9%,2.98,A- (3.84),A- (3.76)
"Bratton, Maryann",ENG 100A - Principles of Team Engineering (A),SP08,40,33,78.8%,87.9%,2.98,A- (3.84),A- (3.76)
"Deutsch, Alin Bernard",ENG 100L - Team Engineering Laboratory (E),SP08,8,7,100.0%,100.0%,5.93,A (4.00),
"Kleissl, Jan",ENG 100L - Team Engineering Laboratory (F),SP08,10,9,88.9%,100.0%,6.06,A (4.00),
"Beck, Ellen L.",ENG 100L - Team Engineering Laboratory (J),SP08,6,4,100.0%,100.0%,6.5,B+ (3.67),
"Elkan, Charles Peter",ENG 100L - Team Engineering Laboratory (K),SP08,3,3,100.0%,100.0%,6.5,B+ (3.67),
"Tu, Charles",ENG 100L - Team Engineering Laboratory (L),SP08,6,4,100.0%,100.0%,8.0,A- (3.75),
"Bartsch, Dirk-Uwe Guenther",ENG 100L - Team Engineering Laboratory (D),WI08,10,9,100.0%,100.0%,4.72,A- (3.75),
